,Name,href,Rating,Name_reviewer,Rating_reviewer,Elite,Ort_reviewer,Friends_count,Reviews_count,Pictures_count,Date,Comment,Names_pictures,Hilfreich,Lustig,Cool
120,CMG Sports Club,https://www.yelp.de/biz/cmg-sports-club-paris-17,,,,,,,,,,,,,,
121,AquaZena,https://www.yelp.de/biz/aquazena-issy-les-moulineaux,3.0,,,,,,,,,,,,,
122,Magic Form,https://www.yelp.de/biz/magic-form-clamart,,,,,,,,,,,,,,
123,Les Relais de la Forme,https://www.yelp.de/biz/les-relais-de-la-forme-clamart,,,,,,,,,,,,,,
124,CMG Sports Club,https://www.yelp.de/biz/cmg-sports-club-paris-6,3.0,,,,,,,,,,,,,
125,Gym Suédoise,https://www.yelp.de/biz/gym-su%C3%A9doise-boulogne-billancourt,,,,,,,,,,,,,,
126,CMG Sports Club,https://www.yelp.de/biz/cmg-sports-club-paris-6,3.0,,,,,,,,,,,,,
127,Leader Gym,https://www.yelp.de/biz/leader-gym-franconville-la-garenne,5.0,,,,,,,,,,,,,
128,carinafitness,https://www.yelp.de/biz/carinafitness-paris,,,,,,,,,,,,,,
129,Accro Forme,https://www.yelp.de/biz/accro-forme-paris,,,,,,,,,,,,,,
130,Magic Form,https://www.yelp.de/biz/magic-form-paris-4,,,,,,,,,,,,,,
131,CMG Sports Club,https://www.yelp.de/biz/cmg-sports-club-paris-6,3.0,,,,,,,,,,,,,
132,Groupe Bleu Vital,https://www.yelp.de/biz/groupe-bleu-vital-garches,,,,,,,,,,,,,,
133,espace gym paris,https://www.yelp.de/biz/espace-gym-paris-paris,,,,,,,,,,,,,,
134,Lady fitness,https://www.yelp.de/biz/lady-fitness-ch%C3%A2tillon-2,5.0,,,,,,,,,,,,,
135,Athletic Club,https://www.yelp.de/biz/athletic-club-boulogne-billancourt,3.0,,,,,,,,,,,,,
136,Magic Form,https://www.yelp.de/biz/magic-form-fontenay-aux-roses,5.0,,,,,,,,,,,,,
137,Fitness Park,https://www.yelp.de/biz/fitness-park-paris-7,,,,,,,,,,,,,,
138,Cercles de la Forme,https://www.yelp.de/biz/cercles-de-la-forme-paris-3,2.0,,,,,,,,,,,,,
139,EPISOD Hub Bourse,https://www.yelp.de/biz/episod-hub-bourse-paris-2,,,,,,,,,,,,,,
140,Gym d’Homme,https://www.yelp.de/biz/gym-d-homme-paris-2,5.0,,,,,,,,,,,,,
141,Fitness Price,https://www.yelp.de/biz/fitness-price-paris-2,,,,,,,,,,,,,,
142,Basic-Fit,https://www.yelp.de/biz/basic-fit-paris-7,,,,,,,,,,,,,,
143,"Cours Pilates,Abdos/Fessiers,Latin Dance",https://www.yelp.de/biz/cours-pilates-abdos-fessiers-latin-dance-paris,,,,,,,,,,,,,,
144,Gym Suédoise,https://www.yelp.de/biz/gym-su%C3%A9doise-paris-13,4.0,,,,,,,,,,,,,
145,Body Coach,https://www.yelp.de/biz/body-coach-paris,4.0,,,,,,,,,,,,,
146,Neoness,https://www.yelp.de/biz/neoness-paris-12,3.0,,,,,,,,,,,,,
147,Pause Body,https://www.yelp.de/biz/pause-body-meudon,,,,,,,,,,,,,,
148,Curves,https://www.yelp.de/biz/curves-boulogne-billancourt,,,,,,,,,,,,,,
149,Keep Cool,https://www.yelp.de/biz/keep-cool-paris,,,,,,,,,,,,,,
150,Magic Form,https://www.yelp.de/biz/magic-form-paris-2,2.0,,,,,,,,,,,,,
151,Curves,https://www.yelp.de/biz/curves-paris-10,,,,,,,,,,,,,,
152,Curves,https://www.yelp.de/biz/curves-vincennes,,,,,,,,,,,,,,
153,Fitness Park,https://www.yelp.de/biz/fitness-park-bobigny-2,,,,,,,,,,,,,,
154,Neoness,https://www.yelp.de/biz/neoness-paris-26,,,,,,,,,,,,,,
155,Escale Forme Société,https://www.yelp.de/biz/escale-forme-soci%C3%A9t%C3%A9-villemomble,4.0,,,,,,,,,,,,,
156,Et Votre Corps Sourit,https://www.yelp.de/biz/et-votre-corps-sourit-paris,,,,,,,,,,,,,,
157,CrossFit Gavroche,https://www.yelp.de/biz/crossfit-gavroche-boulogne-billancourt,,,,,,,,,,,,,,
158,Blocbuster,https://www.yelp.de/biz/blocbuster-puteaux,4.0,,,,,,,,,,,,,
159,Cercles de la Forme,https://www.yelp.de/biz/cercles-de-la-forme-paris-6,4.0,,,,,,,,,,,,,
160,Au Club M,https://www.yelp.de/biz/au-club-m-paris,,,,,,,,,,,,,,
161,Cercles de la Forme,https://www.yelp.de/biz/cercles-de-la-forme-paris-5,,,,,,,,,,,,,,
162,Lady Fitness,https://www.yelp.de/biz/lady-fitness-nogent-sur-marne,,,,,,,,,,,,,,
163,Basic-Fit,https://www.yelp.de/biz/basic-fit-paris-21,,,,,,,,,,,,,,
164,Fitness Price,https://www.yelp.de/biz/fitness-price-paris-3,4.0,,,,,,,,,,,,,
165,Temps Danse,https://www.yelp.de/biz/temps-danse-paris-2,,,,,,,,,,,,,,
166,Bodysline,https://www.yelp.de/biz/bodysline-paris,,,,,,,,,,,,,,
167,Fight’Ness Gym,https://www.yelp.de/biz/fight-ness-gym-pantin,,,,,,,,,,,,,,
168,CMG Sports Club,https://www.yelp.de/biz/cmg-sports-club-paris-13,4.0,,,,,,,,,,,,,
169,Equilibre et Bien-Etre,https://www.yelp.de/biz/equilibre-et-bien-etre-paris-15,,,,,,,,,,,,,,
170,Coach Avenue,https://www.yelp.de/biz/coach-avenue-ville-d-avray,,,,,,,,,,,,,,
171,CMG Sports Club,https://www.yelp.de/biz/cmg-sports-club-paris-13,4.0,,,,,,,,,,,,,
172,Passion Fitness,https://www.yelp.de/biz/passion-fitness-clichy,,,,,,,,,,,,,,
173,Indoor Beach Club,https://www.yelp.de/biz/indoor-beach-club-gennevilliers,,,,,,,,,,,,,,
174,Basic-Fit,https://www.yelp.de/biz/basic-fit-paris-4,,,,,,,,,,,,,,
175,EmmanuelMACE,https://www.yelp.de/biz/emmanuelmace-paris,,,,,,,,,,,,,,
176,Basic-Fit,https://www.yelp.de/biz/basic-fit-paris-15,,,,,,,,,,,,,,
177,Société Athlétique Montmartroise,https://www.yelp.de/biz/soci%C3%A9t%C3%A9-athl%C3%A9tique-montmartroise-paris,3.0,,,,,,,,,,,,,
178,Central Sport,https://www.yelp.de/biz/central-sport-colombes-2,2.0,,,,,,,,,,,,,
179,Club Energym,https://www.yelp.de/biz/club-energym-paris-2,,,,,,,,,,,,,,
180,Basic-Fit,https://www.yelp.de/biz/basic-fit-garges-l%C3%A8s-gonesse-2,,,,,,,,,,,,,,
181,Neoness,https://www.yelp.de/biz/neoness-colombes,,,,,,,,,,,,,,
182,Fitness Park,https://www.yelp.de/biz/fitness-park-levallois-perret,,,,,,,,,,,,,,
183,1 2 3 Paris Fitness,https://www.yelp.de/biz/1-2-3-paris-fitness-paris-2,,,,,,,,,,,,,,
184,Centre nautique - Gennevilliers,https://www.yelp.de/biz/centre-nautique-gennevilliers-gennevilliers,3.0,,,,,,,,,,,,,
185,Women’s Fit,https://www.yelp.de/biz/womens-fit-paris,,,,,,,,,,,,,,
186,Moving,https://www.yelp.de/biz/moving-bezons,,,,,,,,,,,,,,
187,Equiliforme,https://www.yelp.de/biz/equiliforme-asni%C3%A8res-sur-seine,,,,,,,,,,,,,,
188,B.L.A.D.E.,https://www.yelp.de/biz/b-l-a-d-e-ermont,,,,,,,,,,,,,,
189,Point Form’ Plus,https://www.yelp.de/biz/point-form-plus-paris,4.0,,,,,,,,,,,,,
190,Centre SISMO,https://www.yelp.de/biz/centre-sismo-paris,,,,,,,,,,,,,,
191,Basic-Fit,https://www.yelp.de/biz/basic-fit-paris-17,,,,,,,,,,,,,,
192,L’Ile de Beauté,https://www.yelp.de/biz/l-ile-de-beaut%C3%A9-paris-4,4.0,,,,,,,,,,,,,
193,Formevasion,https://www.yelp.de/biz/formevasion-marolles-en-brie,,,,,,,,,,,,,,
194,Piscine Le Canyon,https://www.yelp.de/biz/piscine-le-canyon-%C3%A9pinay-sur-seine,3.0,,,,,,,,,,,,,
